file,threshold,winner,rounds,numCands
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.0,John Kelly MILLAR (Lab),4,8
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.01,John Kelly MILLAR (Lab),6,8
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.02,John Kelly MILLAR (Lab),7,8
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.03,John Kelly MILLAR (Lab),6,8
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.04,John Kelly MILLAR (Lab),7,8
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.05,John Kelly MILLAR (Lab),6,8
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.06,John Kelly MILLAR (Lab),6,8
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.07,John Kelly MILLAR (Lab),7,8
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.08,John Kelly MILLAR (Lab),7,8
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.09,John Kelly MILLAR (Lab),7,8
govan_govan.csv,0.0,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10,11
govan_govan.csv,0.01,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10,11
govan_govan.csv,0.02,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10,11
govan_govan.csv,0.03,# ALTERNATIVE NAME 3: Stephen Dornan (Lab),9,11
govan_govan.csv,0.04,# ALTERNATIVE NAME 3: Stephen Dornan (Lab),9,11
govan_govan.csv,0.05,# ALTERNATIVE NAME 3: Stephen Dornan (Lab),9,11
govan_govan.csv,0.06,# ALTERNATIVE NAME 4: John Flanagan (Lab),9,11
govan_govan.csv,0.07,# ALTERNATIVE NAME 3: Stephen Dornan (Lab),10,11
govan_govan.csv,0.08,# ALTERNATIVE NAME 3: Stephen Dornan (Lab),10,11
govan_govan.csv,0.09,# ALTERNATIVE NAME 4: John Flanagan (Lab),10,11
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.0,Ross VETTRAINO (SNP),6,7
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.01,Ross VETTRAINO (SNP),5,7
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.02,Ian SLOAN (Lab),6,7
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.03,Ross VETTRAINO (SNP),6,7
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.04,Ross VETTRAINO (SNP),6,7
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.05,Ross VETTRAINO (SNP),6,7
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.06,Ross VETTRAINO (SNP),6,7
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.07,Ross VETTRAINO (SNP),6,7
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.08,Ross VETTRAINO (SNP),6,7
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.09,Ross VETTRAINO (SNP),6,7
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.0,Iain MCMILLAN (Lab),6,8
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.01,John CALDWELL (Lab),6,8
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.02,Iain MCMILLAN (Lab),6,8
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.03,Iain MCMILLAN (Lab),7,8
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.04,Iain MCMILLAN (Lab),7,8
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.05,Iain MCMILLAN (Lab),7,8
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.06,Iain MCMILLAN (Lab),5,8
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.07,Iain MCMILLAN (Lab),5,8
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.08,Iain MCMILLAN (Lab),6,8
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.09,Iain MCMILLAN (Lab),6,8
Ward3-DeeandGlenkens_ward3.csv,0.0,Susan MURDOCH (Con),3,7
Ward3-DeeandGlenkens_ward3.csv,0.01,Dougie CAMPBELL (Ind),4,7
Ward3-DeeandGlenkens_ward3.csv,0.02,John DENERLEY (Con),5,7
Ward3-DeeandGlenkens_ward3.csv,0.03,Dougie CAMPBELL (Ind),5,7
Ward3-DeeandGlenkens_ward3.csv,0.04,Dougie CAMPBELL (Ind),5,7
Ward3-DeeandGlenkens_ward3.csv,0.05,Dougie CAMPBELL (Ind),5,7
Ward3-DeeandGlenkens_ward3.csv,0.06,Dougie CAMPBELL (Ind),5,7
Ward3-DeeandGlenkens_ward3.csv,0.07,Dougie CAMPBELL (Ind),5,7
Ward3-DeeandGlenkens_ward3.csv,0.08,Dougie CAMPBELL (Ind),5,7
Ward3-DeeandGlenkens_ward3.csv,0.09,Dougie CAMPBELL (Ind),5,7
Ward2-KintyreandtheIslands_ward2.csv,0.0,John MCALPINE (Ind),5,6
Ward2-KintyreandtheIslands_ward2.csv,0.01,John MCALPINE (Ind),5,6
Ward2-KintyreandtheIslands_ward2.csv,0.02,John MCALPINE (Ind),5,6
Ward2-KintyreandtheIslands_ward2.csv,0.03,John MCALPINE (Ind),5,6
Ward2-KintyreandtheIslands_ward2.csv,0.04,John MCALPINE (Ind),5,6
Ward2-KintyreandtheIslands_ward2.csv,0.05,Dougie MCFADZEAN (SNP),5,6
Ward2-KintyreandtheIslands_ward2.csv,0.06,Dougie MCFADZEAN (SNP),5,6
Ward2-KintyreandtheIslands_ward2.csv,0.07,Dougie MCFADZEAN (SNP),5,6
Ward2-KintyreandtheIslands_ward2.csv,0.08,John MCALPINE (Ind),5,6
Ward2-KintyreandtheIslands_ward2.csv,0.09,John MCALPINE (Ind),5,6
Minneapolis_11022021_CityCouncilWard2.csv,0.0,Cam Gordon,2,5
Minneapolis_11022021_CityCouncilWard2.csv,0.01,Robin Wonsley Worlobah,4,5
Minneapolis_11022021_CityCouncilWard2.csv,0.02,Robin Wonsley Worlobah,4,5
Minneapolis_11022021_CityCouncilWard2.csv,0.03,Robin Wonsley Worlobah,4,5
Minneapolis_11022021_CityCouncilWard2.csv,0.04,Robin Wonsley Worlobah,4,5
Minneapolis_11022021_CityCouncilWard2.csv,0.05,Robin Wonsley Worlobah,4,5
Minneapolis_11022021_CityCouncilWard2.csv,0.06,Yusra Arab,4,5
Minneapolis_11022021_CityCouncilWard2.csv,0.07,Yusra Arab,4,5
Minneapolis_11022021_CityCouncilWard2.csv,0.08,Yusra Arab,4,5
Minneapolis_11022021_CityCouncilWard2.csv,0.09,Robin Wonsley Worlobah,4,5
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.0,Tom JOHNSTON (SNP),5,8
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.01,Tom JOHNSTON (SNP),6,8
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.02,Tom JOHNSTON (SNP),6,8
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.03,Tom JOHNSTON (SNP),5,8
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.04,Tom JOHNSTON (SNP),5,8
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.05,Tom JOHNSTON (SNP),6,8
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.06,Tom JOHNSTON (SNP),6,8
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.07,Tom JOHNSTON (SNP),6,8
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.08,Tom JOHNSTON (SNP),6,8
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.09,Tom JOHNSTON (SNP),6,8
Ward21NorthEast_glasgow17-021.csv,0.0,Ruairi KELLY (SNP),8,8
Ward21NorthEast_glasgow17-021.csv,0.01,Ruairi KELLY (SNP),8,8
Ward21NorthEast_glasgow17-021.csv,0.02,Ruairi KELLY (SNP),8,8
Ward21NorthEast_glasgow17-021.csv,0.03,Ruairi KELLY (SNP),8,8
Ward21NorthEast_glasgow17-021.csv,0.04,Ruairi KELLY (SNP),8,8
Ward21NorthEast_glasgow17-021.csv,0.05,Ruairi KELLY (SNP),6,8
Ward21NorthEast_glasgow17-021.csv,0.06,Ruairi KELLY (SNP),8,8
Ward21NorthEast_glasgow17-021.csv,0.07,Ruairi KELLY (SNP),8,8
Ward21NorthEast_glasgow17-021.csv,0.08,Ruairi KELLY (SNP),8,8
Ward21NorthEast_glasgow17-021.csv,0.09,Ruairi KELLY (SNP),8,8
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.0,Sam PAYNE (Con),7,8
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.01,Moray Charles GRANT (SNP),6,8
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.02,Moray Charles GRANT (SNP),7,8
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.03,Moray Charles GRANT (SNP),7,8
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.04,Sam PAYNE (Con),7,8
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.05,Sam PAYNE (Con),7,8
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.06,Sam PAYNE (Con),7,8
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.07,Sam PAYNE (Con),7,8
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.08,Sam PAYNE (Con),7,8
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.09,Sam PAYNE (Con),7,8
Oakland_11082022_Schoolboarddistrict4.csv,0.0,MIKE HUTCHINSON,2,3
Oakland_11082022_Schoolboarddistrict4.csv,0.01,MIKE HUTCHINSON,2,3
Oakland_11082022_Schoolboarddistrict4.csv,0.02,MIKE HUTCHINSON,2,3
Oakland_11082022_Schoolboarddistrict4.csv,0.03,MIKE HUTCHINSON,2,3
Oakland_11082022_Schoolboarddistrict4.csv,0.04,MIKE HUTCHINSON,2,3
Oakland_11082022_Schoolboarddistrict4.csv,0.05,MIKE HUTCHINSON,2,3
Oakland_11082022_Schoolboarddistrict4.csv,0.06,MIKE HUTCHINSON,2,3
Oakland_11082022_Schoolboarddistrict4.csv,0.07,MIKE HUTCHINSON,2,3
Oakland_11082022_Schoolboarddistrict4.csv,0.08,MIKE HUTCHINSON,2,3
Oakland_11082022_Schoolboarddistrict4.csv,0.09,MIKE HUTCHINSON,2,3
AnnandaleNorthWard_dumgal12-12.csv,0.0,(Con) Gail MACGREGOR,3,7
AnnandaleNorthWard_dumgal12-12.csv,0.01,(Con) Gail MACGREGOR,3,7
AnnandaleNorthWard_dumgal12-12.csv,0.02,(Con) Gail MACGREGOR,3,7
AnnandaleNorthWard_dumgal12-12.csv,0.03,(Con) Gail MACGREGOR,3,7
AnnandaleNorthWard_dumgal12-12.csv,0.04,(Con) Gail MACGREGOR,3,7
AnnandaleNorthWard_dumgal12-12.csv,0.05,(Con) Gail MACGREGOR,3,7
AnnandaleNorthWard_dumgal12-12.csv,0.06,(Con) Gail MACGREGOR,3,7
AnnandaleNorthWard_dumgal12-12.csv,0.07,(Con) Gail MACGREGOR,3,7
AnnandaleNorthWard_dumgal12-12.csv,0.08,(Con) Gail MACGREGOR,3,7
AnnandaleNorthWard_dumgal12-12.csv,0.09,(Con) Gail MACGREGOR,3,7
Ward3-ForfarandDistrict_ward3.csv,0.0,Ian MCLAREN (Ind),5,8
Ward3-ForfarandDistrict_ward3.csv,0.01,Ian MCLAREN (Ind),6,8
Ward3-ForfarandDistrict_ward3.csv,0.02,Ian MCLAREN (Ind),5,8
Ward3-ForfarandDistrict_ward3.csv,0.03,Ian MCLAREN (Ind),6,8
Ward3-ForfarandDistrict_ward3.csv,0.04,Ian MCLAREN (Ind),6,8
Ward3-ForfarandDistrict_ward3.csv,0.05,Ian MCLAREN (Ind),6,8
Ward3-ForfarandDistrict_ward3.csv,0.06,Ian MCLAREN (Ind),6,8
Ward3-ForfarandDistrict_ward3.csv,0.07,Ian MCLAREN (Ind),6,8
Ward3-ForfarandDistrict_ward3.csv,0.08,Ian MCLAREN (Ind),6,8
Ward3-ForfarandDistrict_ward3.csv,0.09,Ian MCLAREN (Ind),6,8
Ward03-Kilwinning_n-ayrshire12-03.csv,0.0,Joe CULLINANE (Lab),11,11
Ward03-Kilwinning_n-ayrshire12-03.csv,0.01,Joe CULLINANE (Lab),11,11
Ward03-Kilwinning_n-ayrshire12-03.csv,0.02,Joe CULLINANE (Lab),11,11
Ward03-Kilwinning_n-ayrshire12-03.csv,0.03,Joe CULLINANE (Lab),11,11
Ward03-Kilwinning_n-ayrshire12-03.csv,0.04,Joe CULLINANE (Lab),11,11
Ward03-Kilwinning_n-ayrshire12-03.csv,0.05,Joe CULLINANE (Lab),11,11
Ward03-Kilwinning_n-ayrshire12-03.csv,0.06,Joe CULLINANE (Lab),11,11
Ward03-Kilwinning_n-ayrshire12-03.csv,0.07,Joe CULLINANE (Lab),11,11
Ward03-Kilwinning_n-ayrshire12-03.csv,0.08,Joe CULLINANE (Lab),11,11
Ward03-Kilwinning_n-ayrshire12-03.csv,0.09,Joe CULLINANE (Lab),11,11
JedburghandDistrictWard_sc-borders12-09.csv,0.0,Len WYSE (Con),4,7
JedburghandDistrictWard_sc-borders12-09.csv,0.01,Jim BROWN (SNP),3,7
JedburghandDistrictWard_sc-borders12-09.csv,0.02,Jim BROWN (SNP),4,7
JedburghandDistrictWard_sc-borders12-09.csv,0.03,Jim BROWN (SNP),4,7
JedburghandDistrictWard_sc-borders12-09.csv,0.04,Jim BROWN (SNP),4,7
JedburghandDistrictWard_sc-borders12-09.csv,0.05,Jim BROWN (SNP),4,7
JedburghandDistrictWard_sc-borders12-09.csv,0.06,Jim BROWN (SNP),4,7
JedburghandDistrictWard_sc-borders12-09.csv,0.07,Jim BROWN (SNP),4,7
JedburghandDistrictWard_sc-borders12-09.csv,0.08,Jim BROWN (SNP),4,7
JedburghandDistrictWard_sc-borders12-09.csv,0.09,Jim BROWN (SNP),4,7
ForfarandDistrict_angus12-03.csv,0.0,(SNP) Lynne DEVINE,6,7
ForfarandDistrict_angus12-03.csv,0.01,(Ind) Ian MCLAREN,6,7
ForfarandDistrict_angus12-03.csv,0.02,(SNP) Lynne DEVINE,5,7
ForfarandDistrict_angus12-03.csv,0.03,(SNP) Lynne DEVINE,5,7
ForfarandDistrict_angus12-03.csv,0.04,(SNP) Lynne DEVINE,6,7
ForfarandDistrict_angus12-03.csv,0.05,(SNP) Lynne DEVINE,6,7
ForfarandDistrict_angus12-03.csv,0.06,(SNP) Lynne DEVINE,6,7
ForfarandDistrict_angus12-03.csv,0.07,(SNP) Lynne DEVINE,6,7
ForfarandDistrict_angus12-03.csv,0.08,(Ind) Ian MCLAREN,6,7
ForfarandDistrict_angus12-03.csv,0.09,(Ind) Ian MCLAREN,6,7
