file,threshold,winner_baseline,winner_one_round
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.0,"('John Kelly MILLAR (Lab)',)","('Ian DICKSON (SNP)',)"
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.03,"('John Kelly MILLAR (Lab)',)","('Ian DICKSON (SNP)',)"
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.06,"('John Kelly MILLAR (Lab)',)","('Ian DICKSON (SNP)',)"
govan_govan.csv,0.01,"('# ALTERNATIVE NAME 6: Allison Hunter (SNP)',)","('# ALTERNATIVE NAME 4: John Flanagan (Lab)',)"
govan_govan.csv,0.02,"('# ALTERNATIVE NAME 6: Allison Hunter (SNP)',)","('# ALTERNATIVE NAME 1: Shaukat Butt (Lab)', '# ALTERNATIVE NAME 3: Stephen Dornan (Lab)', '# ALTERNATIVE NAME 4: John Flanagan (Lab)')"
govan_govan.csv,0.04,"('# ALTERNATIVE NAME 3: Stephen Dornan (Lab)',)","('# ALTERNATIVE NAME 4: John Flanagan (Lab)', '# ALTERNATIVE NAME 6: Allison Hunter (SNP)')"
govan_govan.csv,0.05,"('# ALTERNATIVE NAME 3: Stephen Dornan (Lab)',)","('# ALTERNATIVE NAME 6: Allison Hunter (SNP)',)"
govan_govan.csv,0.06,"('# ALTERNATIVE NAME 4: John Flanagan (Lab)',)","('# ALTERNATIVE NAME 6: Allison Hunter (SNP)',)"
govan_govan.csv,0.07,"('# ALTERNATIVE NAME 3: Stephen Dornan (Lab)',)","('# ALTERNATIVE NAME 6: Allison Hunter (SNP)',)"
govan_govan.csv,0.08,"('# ALTERNATIVE NAME 3: Stephen Dornan (Lab)',)","('# ALTERNATIVE NAME 6: Allison Hunter (SNP)',)"
govan_govan.csv,0.09,"('# ALTERNATIVE NAME 4: John Flanagan (Lab)',)","('# ALTERNATIVE NAME 6: Allison Hunter (SNP)',)"
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.01,"('Ian SLOAN (Lab)',)","('Ross VETTRAINO (SNP)',)"
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.0,"('John HOOD (Lab)',)","('John CALDWELL (Lab)',)"
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.01,"('Iain MCMILLAN (Lab)',)","('John CALDWELL (Lab)',)"
Ward3-DeeandGlenkens_ward3.csv,0.0,"('Susan MURDOCH (Con)',)","('Dougie CAMPBELL (Ind)',)"
Ward3-DeeandGlenkens_ward3.csv,0.01,"('Dougie CAMPBELL (Ind)',)","('Andy MCFARLANE (SNP)',)"
Ward3-DeeandGlenkens_ward3.csv,0.02,"('John DENERLEY (Con)',)","('Andy MCFARLANE (SNP)',)"
Ward3-DeeandGlenkens_ward3.csv,0.03,"('Dougie CAMPBELL (Ind)',)","('Andy MCFARLANE (SNP)',)"
Ward3-DeeandGlenkens_ward3.csv,0.04,"('Dougie CAMPBELL (Ind)',)","('John DENERLEY (Con)', 'Susan MURDOCH (Con)')"
Ward3-DeeandGlenkens_ward3.csv,0.05,"('Dougie CAMPBELL (Ind)',)","('John DENERLEY (Con)', 'Susan MURDOCH (Con)')"
Ward3-DeeandGlenkens_ward3.csv,0.06,"('Dougie CAMPBELL (Ind)',)","('John DENERLEY (Con)',)"
Ward3-DeeandGlenkens_ward3.csv,0.07,"('Dougie CAMPBELL (Ind)',)","('John DENERLEY (Con)',)"
Ward2-KintyreandtheIslands_ward2.csv,0.0,"('John MCALPINE (Ind)',)","('Dougie MCFADZEAN (SNP)',)"
Ward2-KintyreandtheIslands_ward2.csv,0.01,"('John MCALPINE (Ind)',)","('Dougie MCFADZEAN (SNP)',)"
Minneapolis_11022021_CityCouncilWard2.csv,0.01,"('Robin Wonsley Worlobah',)","('Yusra Arab',)"
Minneapolis_11022021_CityCouncilWard2.csv,0.02,"('Cam Gordon',)","('Robin Wonsley Worlobah', 'Yusra Arab')"
Minneapolis_11022021_CityCouncilWard2.csv,0.03,"('Cam Gordon',)","('Robin Wonsley Worlobah',)"
Minneapolis_11022021_CityCouncilWard2.csv,0.05,"('Robin Wonsley Worlobah',)","('Cam Gordon',)"
Minneapolis_11022021_CityCouncilWard2.csv,0.07,"('Robin Wonsley Worlobah',)","('Yusra Arab',)"
Minneapolis_11022021_CityCouncilWard2.csv,0.08,"('Robin Wonsley Worlobah',)","('Yusra Arab',)"
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.09,"('Tom JOHNSTON (SNP)',)","('Claire BARCLAY (SNP)',)"
Ward21NorthEast_glasgow17-021.csv,0.0,"('Ruairi KELLY (SNP)',)","('Maureen BURKE (Lab)',)"
Ward21NorthEast_glasgow17-021.csv,0.01,"('Ruairi KELLY (SNP)',)","('Maureen BURKE (Lab)',)"
Ward21NorthEast_glasgow17-021.csv,0.02,"('Ruairi KELLY (SNP)',)","('Maureen BURKE (Lab)',)"
Ward21NorthEast_glasgow17-021.csv,0.06,"('Ruairi KELLY (SNP)',)","('Maureen BURKE (Lab)',)"
Ward21NorthEast_glasgow17-021.csv,0.07,"('Ruairi KELLY (SNP)',)","('Maureen BURKE (Lab)',)"
Ward21NorthEast_glasgow17-021.csv,0.08,"('Ruairi KELLY (SNP)',)","('Maureen BURKE (Lab)',)"
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.0,"('Sam PAYNE (Con)',)","('Moray Charles GRANT (SNP)',)"
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.01,"('Moray Charles GRANT (SNP)',)","('Sam PAYNE (Con)',)"
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.02,"('Sam PAYNE (Con)',)","('Moray Charles GRANT (SNP)',)"
Oakland_11082022_Schoolboarddistrict4.csv,0.03,"('MIKE HUTCHINSON',)","('NICK RESNICK',)"
Oakland_11082022_Schoolboarddistrict4.csv,0.05,"('NICK RESNICK',)","('PECOLIA MANIGO',)"
Oakland_11082022_Schoolboarddistrict4.csv,0.07,"('MIKE HUTCHINSON',)","('NICK RESNICK',)"
Oakland_11082022_Schoolboarddistrict4.csv,0.08,"('MIKE HUTCHINSON',)","('NICK RESNICK',)"
AnnandaleNorthWard_dumgal12-12.csv,0.0,"('(Con) Gail MACGREGOR',)","('(Lab) Ted BROWN',)"
AnnandaleNorthWard_dumgal12-12.csv,0.01,"('(Con) Gail MACGREGOR',)","('(Lab) Ted BROWN',)"
AnnandaleNorthWard_dumgal12-12.csv,0.03,"('(Con) Gail MACGREGOR',)","('(Con) Peter DIGGLE', '(Lab) Ted BROWN', '(SNP) Stephen THOMPSON')"
AnnandaleNorthWard_dumgal12-12.csv,0.04,"('(Con) Gail MACGREGOR',)","('(Con) Peter DIGGLE', '(Lab) Ted BROWN', '(SNP) Stephen THOMPSON')"
AnnandaleNorthWard_dumgal12-12.csv,0.05,"('(Con) Gail MACGREGOR',)","('(Con) Peter DIGGLE', '(Lab) Ted BROWN')"
AnnandaleNorthWard_dumgal12-12.csv,0.06,"('(Con) Gail MACGREGOR',)","('(Lab) Ted BROWN',)"
Ward3-ForfarandDistrict_ward3.csv,0.0,"('Ian MCLAREN (Ind)',)","('Linda CLARK (SNP)',)"
Ward3-ForfarandDistrict_ward3.csv,0.01,"('Ian MCLAREN (Ind)',)","('Ross GREIG (Con)',)"
Ward3-ForfarandDistrict_ward3.csv,0.02,"('Ian MCLAREN (Ind)',)","('Linda CLARK (SNP)', 'Ross GREIG (Con)')"
Ward3-ForfarandDistrict_ward3.csv,0.03,"('Ian MCLAREN (Ind)',)","('Linda CLARK (SNP)',)"
Ward3-ForfarandDistrict_ward3.csv,0.04,"('Ian MCLAREN (Ind)',)","('Linda CLARK (SNP)',)"
Ward3-ForfarandDistrict_ward3.csv,0.05,"('Ian MCLAREN (Ind)',)","('Linda CLARK (SNP)', 'Ross GREIG (Con)')"
Ward3-ForfarandDistrict_ward3.csv,0.06,"('Ian MCLAREN (Ind)',)","('Linda CLARK (SNP)',)"
Ward03-Kilwinning_n-ayrshire12-03.csv,0.0,"('Joe CULLINANE (Lab)',)","('John FERGUSON (SNP)',)"
Ward03-Kilwinning_n-ayrshire12-03.csv,0.01,"('Joe CULLINANE (Lab)',)","('John FERGUSON (SNP)',)"
JedburghandDistrictWard_sc-borders12-09.csv,0.0,"('Len WYSE (Con)',)","('Jim BROWN (SNP)',)"
JedburghandDistrictWard_sc-borders12-09.csv,0.01,"('Jim BROWN (SNP)',)","('Sandy SCOTT (Con)',)"
JedburghandDistrictWard_sc-borders12-09.csv,0.06,"('Jim BROWN (SNP)',)","('Sandy SCOTT (Con)',)"
JedburghandDistrictWard_sc-borders12-09.csv,0.07,"('Jim BROWN (SNP)',)","('Sandy SCOTT (Con)',)"
ForfarandDistrict_angus12-03.csv,0.0,"('(SNP) Lynne DEVINE',)","('(Ind) COLIN BROWN',)"
ForfarandDistrict_angus12-03.csv,0.06,"('(Ind) COLIN BROWN',)","('(SNP) Glennis MIDDLETON', '(SNP) Lynne DEVINE')"
ForfarandDistrict_angus12-03.csv,0.07,"('(Ind) COLIN BROWN',)","('(SNP) Glennis MIDDLETON', '(SNP) Lynne DEVINE')"
ForfarandDistrict_angus12-03.csv,0.08,"('(Ind) Ian MCLAREN',)","('(SNP) Glennis MIDDLETON', '(SNP) Lynne DEVINE')"
ForfarandDistrict_angus12-03.csv,0.09,"('(Ind) Ian MCLAREN',)","('(SNP) Lynne DEVINE',)"
