file,threshold,winner_baseline,winner_fine,winner_condensed,winner_one_round,winner_one_round_condensed
Oakland_11082022_Schoolboarddistrict4.csv,0.04,"('PECOLIA MANIGO',)","('PECOLIA MANIGO',)","('MIKE HUTCHINSON',)","('MIKE HUTCHINSON', 'PECOLIA MANIGO')","('MIKE HUTCHINSON', 'NICK RESNICK', 'PECOLIA MANIGO')"
Oakland_11082022_Schoolboarddistrict4.csv,0.05,"('NICK RESNICK',)","('NICK RESNICK',)","('MIKE HUTCHINSON',)","('PECOLIA MANIGO',)","('MIKE HUTCHINSON', 'NICK RESNICK', 'PECOLIA MANIGO')"
Oakland_11082022_Schoolboarddistrict4.csv,0.06,"('MIKE HUTCHINSON',)","('MIKE HUTCHINSON',)","('MIKE HUTCHINSON',)","('MIKE HUTCHINSON', 'NICK RESNICK', 'PECOLIA MANIGO')","('MIKE HUTCHINSON', 'NICK RESNICK', 'PECOLIA MANIGO')"
Oakland_11082022_Schoolboarddistrict4.csv,0.07,"('MIKE HUTCHINSON',)","('MIKE HUTCHINSON',)","('MIKE HUTCHINSON',)","('NICK RESNICK',)","('MIKE HUTCHINSON', 'NICK RESNICK')"
Oakland_11082022_Schoolboarddistrict4.csv,0.08,"('MIKE HUTCHINSON',)","('MIKE HUTCHINSON',)","('MIKE HUTCHINSON',)","('NICK RESNICK',)","('MIKE HUTCHINSON', 'NICK RESNICK')"
Oakland_11082022_Schoolboarddistrict4.csv,0.09,"('NICK RESNICK',)","('NICK RESNICK',)","('MIKE HUTCHINSON',)","('NICK RESNICK', 'PECOLIA MANIGO')","('NICK RESNICK',)"
AnnandaleNorthWard_dumgal12-12.csv,0.0,"('(Con) Gail MACGREGOR',)","('(Con) Gail MACGREGOR',)","('(Con) Gail MACGREGOR',)","('(Lab) Ted BROWN',)","('(Lab) Ted BROWN',)"
AnnandaleNorthWard_dumgal12-12.csv,0.01,"('(Con) Gail MACGREGOR',)","('(Con) Gail MACGREGOR',)","('(Con) Gail MACGREGOR',)","('(Lab) Ted BROWN',)","('(Lab) Ted BROWN',)"
AnnandaleNorthWard_dumgal12-12.csv,0.02,"('(Con) Gail MACGREGOR',)","('(Con) Gail MACGREGOR',)","('(Con) Gail MACGREGOR',)","('(Con) Gail MACGREGOR', '(Con) Roger GRANT')","('(Con) Gail MACGREGOR', '(Con) Roger GRANT')"
AnnandaleNorthWard_dumgal12-12.csv,0.03,"('(Con) Gail MACGREGOR',)","('(Con) Gail MACGREGOR',)","('(Con) Gail MACGREGOR',)","('(Con) Peter DIGGLE', '(Lab) Ted BROWN', '(SNP) Stephen THOMPSON')","('(Con) Peter DIGGLE', '(Lab) Ted BROWN', '(SNP) Stephen THOMPSON')"
AnnandaleNorthWard_dumgal12-12.csv,0.04,"('(Con) Gail MACGREGOR',)","('(Con) Gail MACGREGOR',)","('(Con) Gail MACGREGOR',)","('(Con) Peter DIGGLE', '(Lab) Ted BROWN', '(SNP) Stephen THOMPSON')","('(Con) Peter DIGGLE', '(Lab) Ted BROWN', '(SNP) Stephen THOMPSON')"
AnnandaleNorthWard_dumgal12-12.csv,0.05,"('(Con) Gail MACGREGOR',)","('(Con) Gail MACGREGOR',)","('(Con) Gail MACGREGOR',)","('(Con) Peter DIGGLE', '(Lab) Ted BROWN')","('(Con) Peter DIGGLE', '(Lab) Ted BROWN')"
AnnandaleNorthWard_dumgal12-12.csv,0.06,"('(Con) Gail MACGREGOR',)","('(Con) Gail MACGREGOR',)","('(Con) Gail MACGREGOR',)","('(Lab) Ted BROWN',)","('(Lab) Ted BROWN',)"
AnnandaleNorthWard_dumgal12-12.csv,0.07,"('(Con) Gail MACGREGOR',)","('(Con) Gail MACGREGOR',)","('(Con) Gail MACGREGOR',)","('(Con) Gail MACGREGOR', '(Con) Peter DIGGLE', '(Con) Roger GRANT', '(Grn) Alis BALLANCE', '(LD) Hugh YOUNG', '(Lab) Ted BROWN', '(SNP) Stephen THOMPSON')","('(Con) Gail MACGREGOR', '(Con) Peter DIGGLE', '(Con) Roger GRANT', '(Grn) Alis BALLANCE', '(LD) Hugh YOUNG', '(Lab) Ted BROWN', '(SNP) Stephen THOMPSON')"
AnnandaleNorthWard_dumgal12-12.csv,0.08,"('(Con) Gail MACGREGOR',)","('(Con) Gail MACGREGOR',)","('(Con) Gail MACGREGOR',)","('(Con) Gail MACGREGOR', '(Con) Peter DIGGLE', '(Con) Roger GRANT', '(Grn) Alis BALLANCE', '(LD) Hugh YOUNG', '(Lab) Ted BROWN', '(SNP) Stephen THOMPSON')","('(Con) Gail MACGREGOR', '(Con) Peter DIGGLE', '(Con) Roger GRANT', '(Grn) Alis BALLANCE', '(LD) Hugh YOUNG', '(Lab) Ted BROWN', '(SNP) Stephen THOMPSON')"
AnnandaleNorthWard_dumgal12-12.csv,0.09,"('(Con) Gail MACGREGOR',)","('(Con) Gail MACGREGOR',)","('(Con) Gail MACGREGOR',)","('(Con) Gail MACGREGOR', '(Con) Peter DIGGLE', '(Con) Roger GRANT', '(Grn) Alis BALLANCE', '(LD) Hugh YOUNG', '(Lab) Ted BROWN', '(SNP) Stephen THOMPSON')","('(Con) Gail MACGREGOR', '(Con) Peter DIGGLE', '(Con) Roger GRANT', '(Grn) Alis BALLANCE', '(LD) Hugh YOUNG', '(Lab) Ted BROWN', '(SNP) Stephen THOMPSON')"
Ward3-ForfarandDistrict_ward3.csv,0.0,"('Ian MCLAREN (Ind)',)","('Ian MCLAREN (Ind)',)","('Ian MCLAREN (Ind)',)","('Linda CLARK (SNP)',)","('Linda CLARK (SNP)',)"
Ward3-ForfarandDistrict_ward3.csv,0.01,"('Ian MCLAREN (Ind)',)","('Ian MCLAREN (Ind)',)","('Ian MCLAREN (Ind)',)","('Ross GREIG (Con)',)","('Ross GREIG (Con)',)"
Ward3-ForfarandDistrict_ward3.csv,0.02,"('Ian MCLAREN (Ind)',)","('Ian MCLAREN (Ind)',)","('Ian MCLAREN (Ind)',)","('Linda CLARK (SNP)', 'Ross GREIG (Con)')","('Linda CLARK (SNP)', 'Ross GREIG (Con)')"
Ward3-ForfarandDistrict_ward3.csv,0.03,"('Ian MCLAREN (Ind)',)","('Ian MCLAREN (Ind)',)","('Ian MCLAREN (Ind)',)","('Linda CLARK (SNP)',)","('Linda CLARK (SNP)',)"
Ward3-ForfarandDistrict_ward3.csv,0.04,"('Ian MCLAREN (Ind)',)","('Ian MCLAREN (Ind)',)","('Ian MCLAREN (Ind)',)","('Linda CLARK (SNP)',)","('Linda CLARK (SNP)',)"
Ward3-ForfarandDistrict_ward3.csv,0.05,"('Ian MCLAREN (Ind)',)","('Ian MCLAREN (Ind)',)","('Ian MCLAREN (Ind)',)","('Linda CLARK (SNP)', 'Ross GREIG (Con)')","('Linda CLARK (SNP)', 'Ross GREIG (Con)')"
Ward3-ForfarandDistrict_ward3.csv,0.06,"('Ian MCLAREN (Ind)',)","('Ian MCLAREN (Ind)',)","('Ian MCLAREN (Ind)',)","('Linda CLARK (SNP)',)","('Linda CLARK (SNP)',)"
Ward3-ForfarandDistrict_ward3.csv,0.07,"('Ian MCLAREN (Ind)',)","('Ian MCLAREN (Ind)',)","('Ian MCLAREN (Ind)',)","('Colin BROWN (Ind)', 'Ed MCADAM (Lab)', 'Ian MCLAREN (Ind)', 'Linda CLARK (SNP)', 'Lynne DEVINE (SNP)', 'Marley HUNTER (Grn)', 'Ross GREIG (Con)', 'Samuel David STRUTH (LD)')","('Colin BROWN (Ind)', 'Ed MCADAM (Lab)', 'Ian MCLAREN (Ind)', 'Linda CLARK (SNP)', 'Lynne DEVINE (SNP)', 'Marley HUNTER (Grn)', 'Ross GREIG (Con)', 'Samuel David STRUTH (LD)')"
Ward3-ForfarandDistrict_ward3.csv,0.08,"('Ian MCLAREN (Ind)',)","('Ian MCLAREN (Ind)',)","('Ian MCLAREN (Ind)',)","('Colin BROWN (Ind)', 'Ed MCADAM (Lab)', 'Ian MCLAREN (Ind)', 'Linda CLARK (SNP)', 'Lynne DEVINE (SNP)', 'Marley HUNTER (Grn)', 'Ross GREIG (Con)', 'Samuel David STRUTH (LD)')","('Colin BROWN (Ind)', 'Ed MCADAM (Lab)', 'Ian MCLAREN (Ind)', 'Linda CLARK (SNP)', 'Lynne DEVINE (SNP)', 'Marley HUNTER (Grn)', 'Ross GREIG (Con)', 'Samuel David STRUTH (LD)')"
Ward3-ForfarandDistrict_ward3.csv,0.09,"('Ian MCLAREN (Ind)',)","('Ian MCLAREN (Ind)',)","('Ian MCLAREN (Ind)',)","('Colin BROWN (Ind)', 'Ed MCADAM (Lab)', 'Ian MCLAREN (Ind)', 'Linda CLARK (SNP)', 'Lynne DEVINE (SNP)', 'Marley HUNTER (Grn)', 'Ross GREIG (Con)', 'Samuel David STRUTH (LD)')","('Colin BROWN (Ind)', 'Ed MCADAM (Lab)', 'Ian MCLAREN (Ind)', 'Linda CLARK (SNP)', 'Lynne DEVINE (SNP)', 'Marley HUNTER (Grn)', 'Ross GREIG (Con)', 'Samuel David STRUTH (LD)')"
Ward03-Kilwinning_n-ayrshire12-03.csv,0.0,"('Joe CULLINANE (Lab)',)","('Joe CULLINANE (Lab)',)","('Joe CULLINANE (Lab)',)","('John FERGUSON (SNP)',)","('John FERGUSON (SNP)',)"
Ward03-Kilwinning_n-ayrshire12-03.csv,0.01,"('Joe CULLINANE (Lab)',)","('Joe CULLINANE (Lab)',)","('Joe CULLINANE (Lab)',)","('John FERGUSON (SNP)',)","('John FERGUSON (SNP)',)"
Ward03-Kilwinning_n-ayrshire12-03.csv,0.02,"('Joe CULLINANE (Lab)',)","('Joe CULLINANE (Lab)',)","('Joe CULLINANE (Lab)',)","('Donald REID (Lab)', 'Joe CULLINANE (Lab)')","('Donald REID (Lab)', 'Joe CULLINANE (Lab)')"
Ward03-Kilwinning_n-ayrshire12-03.csv,0.03,"('Joe CULLINANE (Lab)',)","('Joe CULLINANE (Lab)',)","('Joe CULLINANE (Lab)',)","('Donald REID (Lab)', 'Joe CULLINANE (Lab)', 'John FERGUSON (SNP)')","('Donald REID (Lab)', 'Joe CULLINANE (Lab)', 'John FERGUSON (SNP)')"
Ward03-Kilwinning_n-ayrshire12-03.csv,0.04,"('Joe CULLINANE (Lab)',)","('Joe CULLINANE (Lab)',)","('Joe CULLINANE (Lab)',)","('Joe CULLINANE (Lab)', 'John FERGUSON (SNP)')","('Joe CULLINANE (Lab)', 'John FERGUSON (SNP)')"
Ward03-Kilwinning_n-ayrshire12-03.csv,0.05,"('Joe CULLINANE (Lab)',)","('Joe CULLINANE (Lab)',)","('Joe CULLINANE (Lab)',)","('Joe CULLINANE (Lab)', 'John FERGUSON (SNP)')","('Joe CULLINANE (Lab)', 'John FERGUSON (SNP)')"
Ward03-Kilwinning_n-ayrshire12-03.csv,0.06,"('Joe CULLINANE (Lab)',)","('Joe CULLINANE (Lab)',)","('Joe CULLINANE (Lab)',)","('Joe CULLINANE (Lab)', 'John FERGUSON (SNP)')","('Joe CULLINANE (Lab)', 'John FERGUSON (SNP)')"
Ward03-Kilwinning_n-ayrshire12-03.csv,0.07,"('Joe CULLINANE (Lab)',)","('Joe CULLINANE (Lab)',)","('Joe CULLINANE (Lab)',)","('Joe CULLINANE (Lab)', 'John FERGUSON (SNP)')","('Joe CULLINANE (Lab)', 'John FERGUSON (SNP)')"
Ward03-Kilwinning_n-ayrshire12-03.csv,0.08,"('John FERGUSON (SNP)',)","('John FERGUSON (SNP)',)","('Joe CULLINANE (Lab)',)","('Joe CULLINANE (Lab)', 'John FERGUSON (SNP)')","('Joe CULLINANE (Lab)', 'John FERGUSON (SNP)')"
Ward03-Kilwinning_n-ayrshire12-03.csv,0.09,"('John FERGUSON (SNP)',)","('John FERGUSON (SNP)',)","('Joe CULLINANE (Lab)',)","('Andy JONES (Lab)', 'Colin HEDLEY (Ind)', 'Donald REID (Lab)', 'Helen HAINEY (Lab)', 'Iain WALKER (SNP)', 'Joe CULLINANE (Lab)', 'John FERGUSON (SNP)', 'Philip HOGG (Ind)', 'Robert STEEL (Ind)', 'Scott GALLACHER (Con)', 'Stuart GARDINER (LD)')","('Andy JONES (Lab)', 'Colin HEDLEY (Ind)', 'Donald REID (Lab)', 'Helen HAINEY (Lab)', 'Iain WALKER (SNP)', 'Joe CULLINANE (Lab)', 'John FERGUSON (SNP)', 'Philip HOGG (Ind)', 'Robert STEEL (Ind)', 'Scott GALLACHER (Con)', 'Stuart GARDINER (LD)')"
JedburghandDistrictWard_sc-borders12-09.csv,0.0,"('Len WYSE (Con)',)","('Len WYSE (Con)',)","('Len WYSE (Con)',)","('Jim BROWN (SNP)',)","('Jim BROWN (SNP)',)"
JedburghandDistrictWard_sc-borders12-09.csv,0.01,"('Jim BROWN (SNP)',)","('Jim BROWN (SNP)',)","('Jim BROWN (SNP)',)","('Sandy SCOTT (Con)',)","('Sandy SCOTT (Con)',)"
JedburghandDistrictWard_sc-borders12-09.csv,0.02,"('Jim BROWN (SNP)',)","('Jim BROWN (SNP)',)","('Jim BROWN (SNP)',)","('Jim BROWN (SNP)', 'Sandy SCOTT (Con)')","('Jim BROWN (SNP)', 'Sandy SCOTT (Con)')"
JedburghandDistrictWard_sc-borders12-09.csv,0.03,"('Jim BROWN (SNP)',)","('Jim BROWN (SNP)',)","('Jim BROWN (SNP)',)","('Jim BROWN (SNP)', 'Rory STEWART (Ind)', 'Sandy SCOTT (Con)')","('Jim BROWN (SNP)', 'Rory STEWART (Ind)', 'Sandy SCOTT (Con)')"
JedburghandDistrictWard_sc-borders12-09.csv,0.04,"('Jim BROWN (SNP)',)","('Jim BROWN (SNP)',)","('Jim BROWN (SNP)',)","('Jim BROWN (SNP)', 'Sandy SCOTT (Con)')","('Jim BROWN (SNP)', 'Sandy SCOTT (Con)')"
JedburghandDistrictWard_sc-borders12-09.csv,0.05,"('Jim BROWN (SNP)',)","('Jim BROWN (SNP)',)","('Jim BROWN (SNP)',)","('Jim BROWN (SNP)', 'Sandy SCOTT (Con)')","('Jim BROWN (SNP)', 'Sandy SCOTT (Con)')"
JedburghandDistrictWard_sc-borders12-09.csv,0.06,"('Jim BROWN (SNP)',)","('Jim BROWN (SNP)',)","('Jim BROWN (SNP)',)","('Sandy SCOTT (Con)',)","('Sandy SCOTT (Con)',)"
JedburghandDistrictWard_sc-borders12-09.csv,0.07,"('Jim BROWN (SNP)',)","('Jim BROWN (SNP)',)","('Jim BROWN (SNP)',)","('Sandy SCOTT (Con)',)","('Sandy SCOTT (Con)',)"
JedburghandDistrictWard_sc-borders12-09.csv,0.08,"('Jim BROWN (SNP)',)","('Jim BROWN (SNP)',)","('Jim BROWN (SNP)',)","('David Robert Scott SHARP (Lab)', 'Jim BROWN (SNP)', 'John BATHGATE (LD)', 'Len WYSE (Con)', 'Rory STEWART (Ind)', 'Sandy SCOTT (Con)', 'Trevor JACKSON (Scottish Borders)')","('David Robert Scott SHARP (Lab)', 'Jim BROWN (SNP)', 'John BATHGATE (LD)', 'Len WYSE (Con)', 'Rory STEWART (Ind)', 'Sandy SCOTT (Con)', 'Trevor JACKSON (Scottish Borders)')"
JedburghandDistrictWard_sc-borders12-09.csv,0.09,"('Jim BROWN (SNP)',)","('Jim BROWN (SNP)',)","('Jim BROWN (SNP)',)","('David Robert Scott SHARP (Lab)', 'Jim BROWN (SNP)', 'John BATHGATE (LD)', 'Len WYSE (Con)', 'Rory STEWART (Ind)', 'Sandy SCOTT (Con)', 'Trevor JACKSON (Scottish Borders)')","('David Robert Scott SHARP (Lab)', 'Jim BROWN (SNP)', 'John BATHGATE (LD)', 'Len WYSE (Con)', 'Rory STEWART (Ind)', 'Sandy SCOTT (Con)', 'Trevor JACKSON (Scottish Borders)')"
ForfarandDistrict_angus12-03.csv,0.0,"('(SNP) Lynne DEVINE',)","('(SNP) Lynne DEVINE',)","('(SNP) Lynne DEVINE',)","('(Ind) COLIN BROWN',)","('(Ind) COLIN BROWN',)"
ForfarandDistrict_angus12-03.csv,0.01,"('(Ind) Ian MCLAREN',)","('(Ind) Ian MCLAREN',)","('(Ind) Ian MCLAREN',)","('(Ind) COLIN BROWN', '(Ind) Ian MCLAREN', '(SNP) Glennis MIDDLETON', '(SNP) Lynne DEVINE')","('(Ind) COLIN BROWN', '(Ind) Ian MCLAREN', '(SNP) Glennis MIDDLETON', '(SNP) Lynne DEVINE')"
ForfarandDistrict_angus12-03.csv,0.02,"('(SNP) Glennis MIDDLETON',)","('(SNP) Glennis MIDDLETON',)","('(SNP) Lynne DEVINE',)","('(Con) John RYMER', '(Ind) COLIN BROWN', '(Ind) Ian MCLAREN', '(SNP) Glennis MIDDLETON', '(SNP) Lynne DEVINE')","('(Con) John RYMER', '(Ind) COLIN BROWN', '(Ind) Ian MCLAREN', '(SNP) Glennis MIDDLETON', '(SNP) Lynne DEVINE')"
ForfarandDistrict_angus12-03.csv,0.03,"('(SNP) Lynne DEVINE',)","('(SNP) Lynne DEVINE',)","('(SNP) Lynne DEVINE',)","('(Ind) Ian MCLAREN', '(SNP) Glennis MIDDLETON', '(SNP) Lynne DEVINE')","('(Ind) Ian MCLAREN', '(SNP) Glennis MIDDLETON', '(SNP) Lynne DEVINE')"
ForfarandDistrict_angus12-03.csv,0.04,"('(SNP) Lynne DEVINE',)","('(SNP) Lynne DEVINE',)","('(SNP) Lynne DEVINE',)","('(SNP) Glennis MIDDLETON', '(SNP) Lynne DEVINE')","('(SNP) Glennis MIDDLETON', '(SNP) Lynne DEVINE')"
ForfarandDistrict_angus12-03.csv,0.05,"('(SNP) Lynne DEVINE',)","('(SNP) Lynne DEVINE',)","('(SNP) Lynne DEVINE',)","('(SNP) Glennis MIDDLETON', '(SNP) Lynne DEVINE')","('(SNP) Glennis MIDDLETON', '(SNP) Lynne DEVINE')"
ForfarandDistrict_angus12-03.csv,0.06,"('(Ind) COLIN BROWN',)","('(Ind) COLIN BROWN',)","('(SNP) Lynne DEVINE',)","('(SNP) Glennis MIDDLETON', '(SNP) Lynne DEVINE')","('(SNP) Glennis MIDDLETON', '(SNP) Lynne DEVINE')"
ForfarandDistrict_angus12-03.csv,0.07,"('(Ind) COLIN BROWN',)","('(Ind) COLIN BROWN',)","('(SNP) Lynne DEVINE',)","('(SNP) Glennis MIDDLETON', '(SNP) Lynne DEVINE')","('(SNP) Glennis MIDDLETON', '(SNP) Lynne DEVINE')"
ForfarandDistrict_angus12-03.csv,0.08,"('(Ind) Ian MCLAREN',)","('(Ind) Ian MCLAREN',)","('(Ind) Ian MCLAREN',)","('(SNP) Glennis MIDDLETON', '(SNP) Lynne DEVINE')","('(SNP) Glennis MIDDLETON', '(SNP) Lynne DEVINE')"
ForfarandDistrict_angus12-03.csv,0.09,"('(Ind) Ian MCLAREN',)","('(Ind) Ian MCLAREN',)","('(Ind) Ian MCLAREN',)","('(SNP) Lynne DEVINE',)","('(SNP) Lynne DEVINE',)"
